property_id,location,property_type,bedrooms,size_sqm,monthly_rent_kes,purchase_price_kes,calculated_rental_yield_pct
NRB_PROP_1042,South B,Studio,1,40,25000,4500156,6.67
NRB_PROP_1043,Westlands,Studio,1,49,25000,4143622,7.24
NRB_PROP_1044,Parklands,Studio,1,42,25000,3324678,9.02
NRB_PROP_1045,Kilimani,Apartment,1,45,25000,4049034,7.41
NRB_PROP_1046,Langata,Apartment,2,76,25000,4497369,6.67
NRB_PROP_1047,South B,Townhouse,4,148,25000,4516570,6.64
NRB_PROP_1048,South B,Townhouse,1,46,25000,3973006,7.55
NRB_PROP_1049,Westlands,Apartment,1,45,25000,3194382,9.39
NRB_PROP_1050,Lavington,Townhouse,4,142,25000,3896233,7.7
NRB_PROP_1051,Lavington,Studio,1,43,25000,3275627,9.16
NRB_PROP_1052,Kileleshwa,Studio,1,44,25000,4993721,6.01
NRB_PROP_1053,Parklands,Bungalow,4,159,25000,4286711,7.0
NRB_PROP_1054,South B,Townhouse,2,81,25000,4262285,7.04
NRB_PROP_1055,Kilimani,Apartment,3,105,25000,4838648,6.2
NRB_PROP_1056,South B,Townhouse,1,45,25000,3204194,9.36
NRB_PROP_1057,Westlands,Townhouse,1,44,25000,3711666,8.08
NRB_PROP_1058,Lavington,Studio,1,44,25000,4673186,6.42
NRB_PROP_1059,Lavington,Apartment,1,50,25000,4017523,7.47
NRB_PROP_1060,Langata,Bungalow,2,83,25000,3595380,8.34
NRB_PROP_1061,Langata,Townhouse,3,122,25000,4062150,7.39
NRB_PROP_1062,Karen,Studio,1,47,25000,4221415,7.11
NRB_PROP_1063,Westlands,Apartment,4,145,25000,3670147,8.17
NRB_PROP_1064,Westlands,Apartment,2,80,25000,3860707,7.77
NRB_PROP_1065,Kileleshwa,Bungalow,1,37,25000,3304894,9.08
NRB_PROP_1066,Langata,Bungalow,2,74,25000,3982135,7.53
NRB_PROP_1067,Karen,Apartment,3,110,26999,3498357,9.26
NRB_PROP_1068,Westlands,Townhouse,3,111,25000,4684571,6.4
NRB_PROP_1069,Westlands,Townhouse,3,119,25000,4294212,6.99
NRB_PROP_1070,Lavington,Bungalow,2,81,25000,3568777,8.41
NRB_PROP_1071,Karen,Studio,1,36,25000,4361146,6.88
NRB_PROP_1072,Kilimani,Apartment,4,151,25000,3369757,8.9
NRB_PROP_1073,Kilimani,Apartment,3,108,25000,3448705,8.7
NRB_PROP_1074,Karen,Townhouse,4,152,28084,4249313,7.93
NRB_PROP_1075,Parklands,Apartment,1,46,25000,4789766,6.26
NRB_PROP_1076,Kileleshwa,Apartment,3,111,25000,3731907,8.04
NRB_PROP_1077,Kileleshwa,Studio,1,46,25000,4654006,6.45
NRB_PROP_1078,Karen,Bungalow,1,54,25000,3280037,9.15
NRB_PROP_1079,Lavington,Townhouse,1,39,25000,4144862,7.24
NRB_PROP_1080,Parklands,Townhouse,2,75,25000,3323687,9.03
NRB_PROP_1081,Kileleshwa,Studio,1,50,25000,4928736,6.09
NRB_PROP_1082,Langata,Studio,1,49,25000,3406063,8.81
NRB_PROP_1083,Lavington,Bungalow,2,84,25000,3426296,8.76
NRB_PROP_1084,Westlands,Studio,1,43,25000,3313971,9.05
NRB_PROP_1085,South B,Townhouse,2,75,25000,3386748,8.86
NRB_PROP_1086,South B,Bungalow,3,114,25000,3381471,8.87
NRB_PROP_1087,Lavington,Townhouse,1,46,25000,3610057,8.31
NRB_PROP_1088,Parklands,Bungalow,3,115,25000,3324013,9.03
NRB_PROP_1089,Karen,Bungalow,4,148,39500,5657463,8.38
NRB_PROP_1090,Langata,Apartment,1,48,25000,3307740,9.07
NRB_PROP_1091,Karen,Townhouse,3,109,25000,4890852,6.13
NRB_PROP_1092,Parklands,Bungalow,3,113,25000,3985451,7.53
NRB_PROP_1093,Westlands,Studio,1,47,25000,3279309,9.15
NRB_PROP_1094,Lavington,Bungalow,1,40,25000,3537423,8.48
NRB_PROP_1095,Kilimani,Townhouse,3,112,25000,3994917,7.51
NRB_PROP_1096,Langata,Bungalow,1,46,25000,3521482,8.52
NRB_PROP_1097,Karen,Bungalow,4,150,28176,4734374,7.14
NRB_PROP_1098,Karen,Townhouse,2,75,25000,4015224,7.47
NRB_PROP_1099,Parklands,Townhouse,3,115,25000,4042438,7.42
NRB_PROP_1100,Kilimani,Bungalow,3,116,25000,4453920,6.74
NRB_PROP_1101,Langata,Studio,1,50,25000,3975483,7.55
NRB_PROP_1102,Lavington,Studio,1,38,25000,3417606,8.78
NRB_PROP_1103,Kileleshwa,Apartment,3,117,25000,3844142,7.8
NRB_PROP_1104,Langata,Apartment,2,82,26151,3756075,8.35
NRB_PROP_1105,Lavington,Townhouse,2,82,25000,4929760,6.09
NRB_PROP_1106,Lavington,Studio,1,49,25000,3685748,8.14
NRB_PROP_1107,Westlands,Studio,1,43,25000,4026551,7.45
NRB_PROP_1108,Lavington,Studio,1,41,25000,3880822,7.73
NRB_PROP_1109,Lavington,Townhouse,1,42,25000,3287920,9.12
NRB_PROP_1110,Westlands,Studio,1,56,25000,4433971,6.77
NRB_PROP_1111,South B,Apartment,2,83,25000,3256924,9.21
NRB_PROP_1112,Westlands,Studio,1,42,25000,4639160,6.47
NRB_PROP_1113,South B,Bungalow,4,150,25000,3683565,8.14
NRB_PROP_1114,Parklands,Studio,1,41,25000,3282193,9.14
NRB_PROP_1115,South B,Studio,1,41,25000,4343312,6.91
NRB_PROP_1116,Lavington,Bungalow,4,150,25000,3661385,8.19
NRB_PROP_1117,Karen,Studio,1,55,25000,4783779,6.27
NRB_PROP_1118,Karen,Townhouse,3,104,25000,4180912,7.18
NRB_PROP_1119,Westlands,Townhouse,2,76,25000,4405664,6.81
NRB_PROP_1120,Kileleshwa,Townhouse,1,41,25000,4025744,7.45
NRB_PROP_1121,Langata,Studio,1,47,25000,4024031,7.46
NRB_PROP_1122,Lavington,Studio,1,38,25000,4074332,7.36
NRB_PROP_1123,Kilimani,Studio,1,42,25000,3911634,7.67
NRB_PROP_1124,Langata,Bungalow,4,158,25000,3338129,8.99
NRB_PROP_1125,Parklands,Townhouse,4,143,25000,4432640,6.77
NRB_PROP_1126,Parklands,Studio,1,55,25000,4916753,6.1
NRB_PROP_1127,Langata,Studio,1,37,25000,3515088,8.53
NRB_PROP_1128,South B,Townhouse,1,51,25000,3270021,9.17
NRB_PROP_1129,Kilimani,Apartment,4,152,25000,4633241,6.47
NRB_PROP_1130,South B,Townhouse,1,40,25000,4341190,6.91
NRB_PROP_1131,Langata,Townhouse,4,133,25000,4199351,7.14
NRB_PROP_1132,Parklands,Bungalow,4,148,25000,4358596,6.88
NRB_PROP_1133,Westlands,Studio,1,53,25000,4944097,6.07
NRB_PROP_1134,Kilimani,Bungalow,2,77,25000,3625156,8.28
NRB_PROP_1135,Kilimani,Apartment,2,87,25000,4479107,6.7
NRB_PROP_1136,Kilimani,Townhouse,2,85,25000,4657102,6.44
NRB_PROP_1137,Westlands,Townhouse,4,145,25000,3551082,8.45
NRB_PROP_1138,Langata,Townhouse,1,45,25000,3439470,8.72
NRB_PROP_1139,Kileleshwa,Bungalow,1,45,25000,3738133,8.03
NRB_PROP_1140,Karen,Studio,1,45,25000,4060479,7.39
NRB_PROP_1141,Lavington,Apartment,2,87,25000,4719463,6.36
NRB_PROP_1142,Karen,Apartment,1,55,25000,4157881,7.22
NRB_PROP_1143,Parklands,Bungalow,1,44,25000,3860575,7.77
NRB_PROP_1144,Langata,Apartment,4,151,25000,3379079,8.88
NRB_PROP_1145,Westlands,Studio,1,43,25000,3204184,9.36
NRB_PROP_1146,South B,Townhouse,4,147,25000,4534133,6.62
NRB_PROP_1147,Karen,Studio,1,46,25000,3933364,7.63
NRB_PROP_1148,Karen,Bungalow,2,84,25000,3367926,8.91
NRB_PROP_1149,Westlands,Bungalow,4,154,25000,4377311,6.85
NRB_PROP_1150,South B,Studio,1,40,25000,4179793,7.18
NRB_PROP_1151,South B,Bungalow,2,83,25000,3892855,7.71
NRB_PROP_1152,Langata,Bungalow,3,114,25000,4298730,6.98
NRB_PROP_1153,Karen,Apartment,2,86,25000,4762172,6.3
NRB_PROP_1154,Parklands,Studio,1,47,25000,3776854,7.94
NRB_PROP_1155,Lavington,Studio,1,43,25000,3631671,8.26
NRB_PROP_1156,South B,Studio,1,49,25000,3418700,8.78
NRB_PROP_1157,Westlands,Bungalow,2,86,25000,4045632,7.42
NRB_PROP_1158,Lavington,Bungalow,3,118,25000,3918284,7.66
NRB_PROP_1159,Langata,Studio,1,46,25000,3161818,9.49
NRB_PROP_1160,Langata,Bungalow,4,150,25000,4317660,6.95
NRB_PROP_1161,Karen,Townhouse,1,40,25000,3519269,8.52
NRB_PROP_1162,Langata,Apartment,2,74,25000,4497485,6.67
NRB_PROP_1163,South B,Bungalow,3,120,25000,3180733,9.43
NRB_PROP_1164,Lavington,Bungalow,2,83,25000,4130476,7.26
NRB_PROP_1165,Karen,Apartment,2,79,25000,4310289,6.96
NRB_PROP_1166,Kilimani,Bungalow,2,80,25000,3644074,8.23
NRB_PROP_1167,South B,Apartment,1,49,25000,3745680,8.01
NRB_PROP_1168,South B,Studio,1,40,25000,3977914,7.54
NRB_PROP_1169,Kileleshwa,Apartment,3,117,25000,3227985,9.29
NRB_PROP_1170,South B,Apartment,1,40,25000,4052698,7.4
NRB_PROP_1171,Westlands,Apartment,2,81,25000,4599680,6.52
NRB_PROP_1172,Karen,Apartment,2,77,25000,4676845,6.41
NRB_PROP_1173,Parklands,Townhouse,4,142,25000,3959454,7.58
NRB_PROP_1174,South B,Bungalow,4,146,25000,4243983,7.07
NRB_PROP_1175,Kilimani,Apartment,2,81,25000,3663315,8.19
NRB_PROP_1176,Karen,Apartment,2,84,25000,4386267,6.84
NRB_PROP_1177,Westlands,Townhouse,1,44,25000,4037787,7.43
NRB_PROP_1178,South B,Bungalow,1,44,25000,4405178,6.81
NRB_PROP_1179,Karen,Studio,1,46,25000,4800668,6.25
NRB_PROP_1180,Lavington,Bungalow,2,82,25000,4006417,7.49
NRB_PROP_1181,Lavington,Townhouse,3,114,25000,3373360,8.89
NRB_PROP_1182,Westlands,Apartment,2,83,25000,3419115,8.77
NRB_PROP_1183,Karen,Studio,1,46,25000,4661832,6.44
NRB_PROP_1184,Karen,Studio,1,45,25000,3226026,9.3
NRB_PROP_1185,South B,Studio,1,45,25000,4775893,6.28
NRB_PROP_1186,Kilimani,Studio,1,52,25000,3500228,8.57
NRB_PROP_1187,Karen,Apartment,1,55,25000,4410963,6.8
NRB_PROP_1188,Kilimani,Bungalow,1,49,25000,3459855,8.67
NRB_PROP_1189,Kileleshwa,Studio,1,55,25000,3838097,7.82
NRB_PROP_1190,South B,Bungalow,2,75,25000,3161452,9.49
NRB_PROP_1191,Parklands,Studio,1,34,25000,3194312,9.39
NRB_PROP_1192,South B,Bungalow,4,146,25000,4186097,7.17
NRB_PROP_1193,Westlands,Townhouse,3,116,25620,4131837,7.44
NRB_PROP_1194,South B,Bungalow,4,154,25000,3390795,8.85
NRB_PROP_1195,Kilimani,Studio,1,40,25000,4755707,6.31
NRB_PROP_1196,Karen,Bungalow,1,38,25000,3192968,9.4
NRB_PROP_1197,Parklands,Apartment,4,155,25000,4028810,7.45
NRB_PROP_1198,Lavington,Bungalow,4,141,28483,4173878,8.19
NRB_PROP_1199,Kilimani,Townhouse,3,114,25000,3786794,7.92
NRB_PROP_1200,Karen,Studio,1,37,25000,3302886,9.08
NRB_PROP_1201,South B,Apartment,1,45,25000,3189448,9.41
NRB_PROP_1202,Lavington,Townhouse,3,112,25000,3784086,7.93
NRB_PROP_1203,Parklands,Apartment,2,74,25000,3166928,9.47
NRB_PROP_1204,Westlands,Studio,1,45,25000,3220711,9.31
NRB_PROP_1205,Kileleshwa,Studio,1,48,25000,3238242,9.26
NRB_PROP_1206,Karen,Bungalow,4,142,31238,4201699,8.92
NRB_PROP_1207,South B,Townhouse,4,151,25000,3783375,7.93
NRB_PROP_1208,Parklands,Townhouse,2,87,25000,3324433,9.02
NRB_PROP_1209,Karen,Studio,1,50,25000,4172715,7.19
NRB_PROP_1210,Karen,Apartment,3,125,30651,4306337,8.54
NRB_PROP_1211,South B,Townhouse,4,148,25000,3804677,7.89
NRB_PROP_1212,Langata,Bungalow,4,153,25000,3950640,7.59
NRB_PROP_1213,Langata,Townhouse,2,75,25000,3749394,8.0
NRB_PROP_1214,Lavington,Studio,1,50,25000,4875856,6.15
NRB_PROP_1215,South B,Studio,1,39,25000,4080924,7.35
NRB_PROP_1216,Kileleshwa,Studio,1,43,25000,3199356,9.38
NRB_PROP_1217,Kileleshwa,Bungalow,1,52,25000,3311380,9.06
NRB_PROP_1218,South B,Apartment,4,158,25000,4955633,6.05
NRB_PROP_1219,Kileleshwa,Studio,1,36,25000,3315552,9.05
NRB_PROP_1220,Kileleshwa,Apartment,4,151,25000,3434325,8.74
NRB_PROP_1221,Karen,Bungalow,4,139,25000,3625628,8.27
NRB_PROP_1222,Langata,Studio,1,38,25000,3212167,9.34
NRB_PROP_1223,South B,Apartment,1,46,25000,4397733,6.82
NRB_PROP_1224,Karen,Townhouse,1,42,25000,3989945,7.52
NRB_PROP_1225,Westlands,Apartment,4,149,25635,4673458,6.58
NRB_PROP_1226,Karen,Apartment,1,40,25000,4204441,7.14
NRB_PROP_1227,Kilimani,Bungalow,3,112,25000,4102876,7.31
NRB_PROP_1228,Kileleshwa,Townhouse,4,149,25000,3759046,7.98
NRB_PROP_1229,Kileleshwa,Townhouse,2,77,25000,4779818,6.28
NRB_PROP_1230,Parklands,Townhouse,4,159,25000,3262677,9.19
NRB_PROP_1231,Kileleshwa,Townhouse,4,146,25000,3644019,8.23
NRB_PROP_1232,South B,Bungalow,1,44,25000,3280057,9.15
NRB_PROP_1233,South B,Bungalow,2,83,25000,4793468,6.26
NRB_PROP_1234,Langata,Bungalow,4,147,25000,3564597,8.42
NRB_PROP_1235,South B,Bungalow,2,78,25000,3158623,9.5
NRB_PROP_1236,South B,Apartment,2,72,25000,4090104,7.33
NRB_PROP_1237,Langata,Bungalow,3,123,25000,4936818,6.08
NRB_PROP_1238,Parklands,Bungalow,1,47,25000,3759044,7.98
NRB_PROP_1239,Kilimani,Studio,1,60,25000,3365139,8.91
NRB_PROP_1240,Karen,Townhouse,3,114,25000,4433596,6.77
NRB_PROP_1241,Lavington,Bungalow,2,71,25000,3659041,8.2
NRB_PROP_1242,Kilimani,Bungalow,4,146,25000,4904544,6.12
NRB_PROP_1243,Langata,Townhouse,1,41,25000,3266658,9.18
NRB_PROP_1244,Langata,Studio,1,53,25000,4535325,6.61
NRB_PROP_1245,Kileleshwa,Bungalow,3,114,25000,3368268,8.91
NRB_PROP_1246,Karen,Studio,1,45,25000,3196302,9.39
NRB_PROP_1247,Karen,Bungalow,1,52,25000,3927133,7.64
NRB_PROP_1248,Westlands,Townhouse,2,74,25000,3329451,9.01
NRB_PROP_1249,Parklands,Bungalow,1,40,25000,3421772,8.77
